,name,id
1456,BØ I VESTERÅLEN III,SN86740
913,BØRSELV II,SN95590
667,BØVERDAL,SN15430
787,BØYLEFOSS,SN36490
1564,CACERES (8261-0),SN826100
289,CAEN-CARPIQUET,SN702700
1903,CAMBORNE,SN380800
374,CANAKKALE,SN1711200
793,CAPO BELLAVISTA,SN1655000
191,CAPO FRASCA,SN1653900
449,CAPO MELE,SN1615300
720,CAPO PALINURO,SN1631000
400,CHOJNICE,SN1223500
1306,CIUDAD REAL,SN834800
188,CLAREMORRIS,SN397000
1080,CLERMONT-FERRAND,SN746000
1206,CLUJ-NAPOCA,SN1512000
1121,COGNAC,SN741200
1905,COZZO SPADARO,SN1648000
1932,CROTONE,SN1635000
244,CUOVDDATMOHKKI,SN97350
1555,CUXHAVEN,SN1013100
380,CZESTOCHOWA,SN1255000
1000,Chernivtsi,SN3365800
161,DAGALI LUFTHAVN,SN29720
1883,DALA-JÄRNA D,SN241010
1898,DAVIKNES,SN57850
307,DE BILT AWS,SN626000
25,DE KOOIJ VK,SN623500
1804,DEBRECEN repülőtér,SN1288200
418,DEEPSEA NORDKAPP,SN77043
847,DEVA,SN1523000
1653,DIGERNÄSET D,SN222110
595,DIJON-LONGVIC,SN728000
1386,DIVIDALEN II,SN89940
854,DOBERLUG-KIRCHHAIN,SN1049000
989,DOMBÅS - NORDIGARD,SN16560
677,DOVLAND,SN38380
1866,DOVRE-LANNEM,SN16400
67,DRAG - AJLUOKTA,SN83710
673,DRAMMEN - AUSTAD,SN26932
155,DRAMMEN - BANGELØKKA,SN26580
59,DRAMMEN - BERSKOG,SN26900
336,DRAMMEN - BRAGERNES SKOLE,SN26852
703,DRAMMEN - DANVIK,SN26594
218,DRAMMEN - GULSKOGEN,SN26894
1157,DRAMMEN - JARLSBERGVEIEN,SN27015
1331,DRAMMEN - SLETTA,SN26590
1435,DRAMMEN - SOLUMSTRAND,SN26934
1509,DRAMMEN - ÅSSIDEN,SN26898
743,DRAMMEN - ØREN SKOLE,SN26872
52,DRAMMEN SYKEHUS,SN26864
1536,DRAMMEN TINGHUS,SN26862
50,DRANGEDAL-REFSDALSKILEN,SN34580
1462,DRAUGEN,SN76925
538,DRAUPNER,SN20954
58,DRAVAGEN,SN231700
792,DRESDEN-KLOTZSCHE,SN1048800
1535,DREVSJØ,SN700
1576,DRIVDALEN,SN63820
1338,DROBETA-TURNU SEVERIN,SN1541000
917,DUBLIN AIRPORT,SN396900
1075,DUBROVNIK/CILIPI,SN1447400
1588,DUEKNIPEN,SN39210
1832,E10 AKKARVIKA,SN85645
519,E10 BJØRNFJELL,SN84905
243,E10 GIMSØYSTRAUMEN BRU,SN85480
1172,E10 KÅKERN BRU,SN85640
1438,E10 SKITDALSHØGDA,SN84910
1483,E10 TJELDSUNDBRUA ØST,SN87763
701,E10 TROLLVIKDAL,SN84920
497,E12 UMBUKTA,SN79253
470,E134 AMBJØRNDALEN,SN31855
4,E134 DARBU,SN26640
1947,E134 FJÆRA,SN47730
1122,E134 GRØNLIHEIA,SN33430
1583,E134 GVAMMEN,SN31853
545,E134 HAUKELIFJELL,SN33990
106,E134 KARMSUNDBRUA,SN47275
1454,E134 MEHEIA,SN28450
1505,E134 MIDTLÆGER,SN46510
565,E134 RØLDALSTUNNELEN AUST,SN46425
1148,E134 VATS,SN47480
1571,E134 VINJE,SN33555
769,E136 BJORLI,SN61620
1390,E136 BRUSTUGLIA,SN61580
554,E136 HORGHEIM,SN61408
493,E136 LORA,SN16845
10,E136 TRESFJORDBRUA,SN61065
773,E136 ÅLESUND,SN60947
1897,E14 MEÅDAL,SN69280
1376,E14 TEVELDALEN,SN69520
1558,E16 BEGNADALEN,SN22690
185,E16 BEKKEHALLUM,SN20470
178,E16 BORGUND,SN54330
694,E16 DALSEID,SN51210
1259,E16 EGGEMOEN,SN20361
1344,E16 EIDESMOEN,SN51460
1334,E16 FILEFJELL V/SMEDDALEN,SN54645
158,E16 FLÅM,SN53280
1723,E16 GARDERMOEN,SN4725
1226,E16 HALLINGBY,SN22200
168,E16 HONING BRU,SN54590
499,E16 INDRE ARNA,SN50830
919,E16 KALPLASSEN,SN22990
1485,E16 LANGHUSO,SN53230
135,E16 ROMERIKSÅSEN,SN4590
1,E16 RYFOSS,SN23670
21,E16 SKUI,SN19660
1736,E16 SOLLIHØGDA VEST,SN19663
453,E16 VINJE VEST,SN51940
904,E16 VOSS NORD,SN51610
1480,E16 ØYERMOEN,SN2970
249,E18 FARSJØ,SN34370
971,E18 FOKSERØD,SN27730
1029,E18 GRELLAND,SN27075
770,E18 GULLI NORD,SN27285
1815,E18 HASLESTAD,SN36010
1154,E18 HEM NORD,SN27320
719,E18 HJORTNES,SN18690
1645,E18 HOLSTAD,SN17875
429,E18 INNTJORHEIA,SN38150
1677,E18 LANNER,SN30247
177,E18 LIERSKOGEN,SN19923
308,E18 MELLEBY,SN3480
381,E18 PAULER,SN30246
257,E18 RØDBØL,SN27785
1789,E18 SANDVIKA,SN19430
655,E18 SMAALENENE VIND,SN3731
1381,E18 SMÅLENENES BRU,SN3730
921,E18 SPRANGFOSS BRU,SN34115
373,E18 STOKKEBAKKEN,SN34095
1622,E18 STUDEVANN,SN38250
141,E18 SVARTSKOG,SN17895
1943,E18 VASSBOTN,SN30244
1491,E18 VESTMARKA,SN30020
945,E18 ØDEGÅRDENS VERK,SN34100
864,E18 ØRJE VEST,SN1960
91,E39 AKSDAL SØR,SN47060
1727,E39 BRUSDALEN,SN60880
1774,E39 DRAGSUNDET,SN60835
556,E39 DRANGSDALEN,SN43007
1319,E39 EIKJE,SN47055
225,E39 FIDJANE,SN39212
1245,E39 FINNESTAD,SN44567
1267,E39 FJØSANGERVEIEN,SN50506
1862,E39 FLÅSKJÆR,SN59860
1641,E39 FORUS,SN44710
983,E39 FURSETFJELLET,SN62200
1208,E39 GJEMNESSUNDBRUA,SN62950
248,E39 HALBRENDSLIA,SN57150
484,E39 HEMNEKJØLEN,SN65275
1597,E39 KALLFOSS,SN67005
1074,E39 KLAKEGG,SN58165
1354,E39 KRINGLA,SN52940
1182,E39 KVIVSVEIEN,SN69661
826,E39 LOTETUNNELEN,SN58770
30,E39 LØNNSET,SN62240
1561,E39 MEHAMMAR,SN48170
1519,E39 MONANKRYSSET,SN39970
113,E39 NORDHORDLANDSBRUA,SN52452
914,E39 OSESTAD,SN41795
1253,E39 OSTEREIDET,SN52390
1690,E39 REED,SN58060
1673,E39 REGEVIK,SN42700
1805,E39 RENNESØY,SN44605
1484,E39 ROMARHEIMDALEN,SN52360
1020,E39 SANDE BRU,SN56790
908,E39 SOLAVÅGEN FERGEKAI,SN60860
281,E39 STORDABRUA,SN48070
1223,E39 SUVATNET,SN41005
409,E39 SVEIO,SN47445
55,E39 SØYLAND,SN44485
1190,E39 UALAND,SN43490
160,E39 VALSØYFJORDEN,SN65060
